Periodo;Clave;R0500C0010;R0500C0020;R0500C0030;R0500C0040;R0500C0050;R0510C0010;R0510C0020;R0510C0030;R0510C0040;R0540C0010;R0540C0020;R0540C0030;R0540C0040;R0540C0050;R0550C0010;R0550C0020;R0550C0030;R0550C0040;R0580C0010;R0600C0010;R0620C0010;R0640C0010
31/12/2022;C0155  ;188074447,19;188074447,19;0;0;0;188074447,19;188074447,19;0;0;188074447,19;188074447,19;0;0;0;188074447,19;188074447,19;0;0;63365998,3;15841499,58;2,968066;11,872263
31/12/2022;C0323  ;3627427,03;3622461,04;0;0;4965,99;3622461,04;3622461,04;0;0;3627427,03;3622461,04;0;0;4965,99;3622461,04;3622461,04;0;0;1136547,79;2700000;3,191619;1,341652
31/12/2022;C0353  ;6719576,44;6719576,44;0;0;0;6719576,44;6719576,44;0;0;6719576,44;6719576,44;0;0;0;6719576,44;6719576,44;0;0;2439788,43;3000000;2,754164;2,239859
31/12/2022;C0157  ;338813669,96;338813669,96;0;0;0;338813669,96;338813669,96;0;0;338813669,96;338813669,96;0;0;0;338813669,96;338813669,96;0;0;167879189,51;58878883,62;2,018199;5,754417
31/12/2022;C0161  ;348937830,23;348937830,23;0;0;0;348937830,23;348937830,23;0;0;348937830,23;348937830,23;0;0;0;348937830,23;348937830,23;0;0;210818854,14;52704713,54;1,655155;6,620619
31/12/2022;C0394  ;11782453,28;11782453,28;0;0;0;11782453,28;11782453,28;0;0;11782453,28;11782453,28;0;0;0;11782453,28;11782453,28;0;0;3139952,47;2700000;3,75243;4,363872
31/12/2022;M0189  ;2173352,06;2173352,06;0;0;0;2173352,06;2173352,06;0;0;2173352,06;2173352,06;0;0;0;2173352,06;2173352,06;0;0;400223,23;300000;5,43035;7,244507
31/12/2022;C0174  ;2591843528,77;2591843528,77;0;0;0;2591843528,77;2591843528,77;0;0;2591843528,77;2591843528,77;0;0;0;2591843528,77;2591843528,77;0;0;877807006,44;219451751,61;2,952635;11,810539
31/12/2022;C0188  ;38803552,33;38803552,33;0;0;0;38803552,33;38803552,33;0;0;38803552,33;38803552,33;0;0;0;38803552,33;38803552,33;0;0;19324319,46;5460193,35;2,008017;7,106626
31/12/2022;M0374  ;6419354,67;6419354,67;0;0;0;6419354,67;6419354,67;0;0;6419354,67;6419354,67;0;0;0;6419354,67;6419354,67;0;0;291123,21;2700000;22,050302;2,377539
31/12/2022;P0046  ;4259886,98;4259886,98;0;0;0;4259886,98;4259886,98;0;0;4259886,98;4259886,98;0;0;0;4259886,98;4259886,98;0;0;458309,95;800000;9,294773;5,324859
31/12/2022;C0208  ;17472870,6;17472870,6;0;0;0;17472870,6;17472870,6;0;0;17472870,6;17472870,6;0;0;0;17472870,6;17472870,6;0;0;1326698,97;2700000;13,170185;6,471434
31/12/2022;C0215  ;24705825,08;24705825,08;0;0;0;24705825,08;24705825,08;0;0;24705825,08;24705825,08;0;0;0;24705825,08;24705825,08;0;0;7000154,67;2700000;3,529326;9,150306
31/12/2022;P0085  ;3376298,12;3376298,12;0;0;0;3376298,12;3376298,12;0;0;3376298,12;3376298,12;0;0;0;3376298,12;3376298,12;0;0;950911,82;800000;3,55059;4,220373
31/12/2022;P0155  ;2622458,35;2480214,72;0;0;142243,63;2480214,72;2480214,72;0;0;2551118,68;2480214,72;0;0;70903,96;2480214,72;2480214,72;0;0;472693,08;300000;5,396988;8,267382
31/12/2022;C0222  ;20778686,23;20778686,23;0;0;0;20778686,23;20778686,23;0;0;20778686,23;20778686,23;0;0;0;20778686,23;20778686,23;0;0;8901287,71;2700000;2,334346;7,69581
31/12/2022;C0223  ;102133562,42;102133562,42;0;0;0;102133562,42;102133562,42;0;0;102133562,42;102133562,42;0;0;0;102133562,42;102133562,42;0;0;32661345,99;8165336,5;3,127047;12,508188
31/12/2022;P0159  ;1570308,54;1569956,51;0;0;352,03;1569956,51;1569956,51;0;0;1570308,54;1569956,51;0;0;352,03;1569956,51;1569956,51;0;0;188566,46;300000;8,327613;5,233188
31/12/2022;P0244  ;2221804,95;2221804,95;0;0;0;2221804,95;2221804,95;0;0;2221804,95;2221804,95;0;0;0;2221804,95;2221804,95;0;0;1357209,58;800000;1,637039;2,777256
31/12/2022;C0225  ;22741637,81;22741637,81;0;0;0;22741637,81;22741637,81;0;0;22741637,81;22741637,81;0;0;0;22741637,81;22741637,81;0;0;6048142,43;2700000;3,760103;8,422829
31/12/2022;C0247  ;210305233,9;210305233,9;0;0;0;210305233,9;210305233,9;0;0;210305233,9;210305233,9;0;0;0;210305233,9;210305233,9;0;0;49049715,71;12262428,93;4,287593;17,150373
31/12/2022;P0285  ;19391670,01;19391670,01;0;0;0;19391670,01;19391670,01;0;0;19391670,01;19391670,01;0;0;0;19391670,01;19391670,01;0;0;5517610,63;3768750;3,514505;5,145385
31/12/2022;P0810  ;12396244,48;12377443,76;0;0;18800,72;12377443,76;12377443,76;0;0;12396244,48;12377443,76;0;0;18800,72;12377443,76;12377443,76;0;0;2944140,62;2700000;4,21048;4,584238
31/12/2022;C0275  ;582944490,87;582944490,87;0;0;0;582944490,87;582944490,87;0;0;582944490,87;582944490,87;0;0;0;582944490,87;582944490,87;0;0;245933331,13;61483332,78;2,370335;9,481342
31/12/2022;C0279  ;93367584,11;93367584,11;0;0;0;93367584,11;93367584,11;0;0;93367584,11;93367584,11;0;0;0;93367584,11;93367584,11;0;0;27517272,01;6879318;3,393054;13,572215
31/12/2022;P1430  ;3246326,22;3246326,22;0;0;0;3246326,22;3246326,22;0;0;3246326,22;3246326,22;0;0;0;3246326,22;3246326,22;0;0;791010,8;800000;4,104023;4,057908
31/12/2022;P2136  ;4472765,83;4472765,83;0;0;0;4472765,83;4472765,83;0;0;4472765,83;4472765,83;0;0;0;4472765,83;4472765,83;0;0;3098282,14;1032760,71;1,443628;4,330883
31/12/2022;C0311  ;73110568,27;73110568,27;0;0;0;73110568,27;73110568,27;0;0;73110568,27;73110568,27;0;0;0;73110568,27;73110568,27;0;0;39665523,79;9916380,95;1,843177;7,372707
31/12/2022;C0320  ;475887321,85;475887321,85;0;0;0;475887321,85;475887321,85;0;0;475887321,85;475887321,85;0;0;0;475887321,85;475887321,85;0;0;190516708,13;80440425,11;2,497877;5,916022
31/12/2022;P2345  ;3499298,32;3499298,32;0;0;0;3499298,32;3499298,32;0;0;3499298,32;3499298,32;0;0;0;3499298,32;3499298,32;0;0;407537,02;2700000;8,586455;1,296036
31/12/2022;P2605  ;2625513,55;2625513,55;0;0;0;2625513,55;2625513,55;0;0;2625513,55;2625513,55;0;0;0;2625513,55;2625513,55;0;0;80514,8;300000;32,60908;8,751712
31/12/2022;C0325  ;66858596,25;66858596,25;0;0;0;66858596,25;66858596,25;0;0;66858596,25;66858596,25;0;0;0;66858596,25;66858596,25;0;0;26418072,8;6604518,2;2,53079;10,12316
31/12/2022;C0355  ;16769053,23;16769053,23;0;0;0;16769053,23;16769053,23;0;0;16769053,23;16769053,23;0;0;0;16769053,23;16769053,23;0;0;7356532,96;2700000;2,279478;6,21076
31/12/2022;P2651  ;3847765,59;3847765,59;0;0;0;3847765,59;3847765,59;0;0;3847765,59;3847765,59;0;0;0;3847765,59;3847765,59;0;0;1149176,25;800000;3,348282;4,809707
31/12/2022;P2925  ;20397873,02;20397873,02;0;0;0;20397873,02;20397873,02;0;0;20397873,02;20397873,02;0;0;0;20397873,02;20397873,02;0;0;4313528,92;4000000;4,728813;5,099468
31/12/2022;C0368  ;11002603,45;11002603,45;0;0;0;11002603,45;11002603,45;0;0;11002603,45;11002603,45;0;0;0;11002603,45;11002603,45;0;0;5999623,88;2700000;1,833882;4,075038
31/12/2022;C0384  ;27519155,06;23555928,46;3963226,6;0;0;27519155,06;23555928,46;3963226,6;0;27519155,06;23555928,46;3963226,6;0;0;27519155,06;23555928,46;3963226,6;0;12527401,67;3131850,42;2,196717;8,786868
31/12/2022;P3074  ;22303621,52;22303621,52;0;0;0;22303621,52;22303621,52;0;0;22303621,52;22303621,52;0;0;0;22303621,52;22303621,52;0;0;2770986,69;923662,23;8,048982;24,146945
31/12/2022;P3138  ;4156323,43;4156323,43;0;0;0;4156323,43;4156323,43;0;0;4156323,43;4156323,43;0;0;0;4156323,43;4156323,43;0;0;1158816,53;800000;3,586697;5,195404
31/12/2022;C0391  ;30989151,44;30989151,44;0;0;0;30989151,44;30989151,44;0;0;30989151,44;30989151,44;0;0;0;30989151,44;30989151,44;0;0;8198390,16;2700000;3,779907;11,477463
31/12/2022;C0396  ;17059440,72;13059440,72;0;4000000;0;17059440,72;13059440,72;0;4000000;17059440,72;13059440,72;0;4000000;0;13690906,39;13059440,72;0;631465,67;8390731,21;3157328,36;2,033129;4,336231
31/12/2022;P3141  ;2520079,02;2520079,02;0;0;0;2520079,02;2520079,02;0;0;2520079,02;2520079,02;0;0;0;2520079,02;2520079,02;0;0;1161457,12;800000;2,169756;3,150099
31/12/2022;P3142  ;1216925,43;1202565,92;0;0;14359,51;1202565,92;1202565,92;0;0;1206911,37;1202565,92;0;0;4345,45;1202565,92;1202565,92;0;0;28969,65;9656,55;41,661234;124,533702
31/12/2022;C0416  ;132255142,25;132255142,25;0;0;0;132255142,25;132255142,25;0;0;132255142,25;132255142,25;0;0;0;132255142,25;132255142,25;0;0;57196930,71;14299232,68;2,312277;9,249108
31/12/2022;C0437  ;29638680,53;29638680,53;0;0;0;29638680,53;29638680,53;0;0;29638680,53;29638680,53;0;0;0;29638680,53;29638680,53;0;0;7791785,12;2700000;3,803837;10,977289
31/12/2022;P3158  ;57188344,39;57188344,39;0;0;0;57188344,39;57188344,39;0;0;57188344,39;57188344,39;0;0;0;57188344,39;57188344,39;0;0;9869496,31;3289832,1;5,794454;17,383363
31/12/2022;P3164  ;3650168,16;3650168,16;0;0;0;3650168,16;3650168,16;0;0;3650168,16;3650168,16;0;0;0;3650168,16;3650168,16;0;0;136060,02;1100000;26,827632;3,318335
31/12/2022;C0448  ;24002616,62;24002616,62;0;0;0;24002616,62;24002616,62;0;0;24002616,62;24002616,62;0;0;0;24002616,62;24002616,62;0;0;7097796,09;2700000;3,3817;8,889858
31/12/2022;C0461  ;502389615,25;502389615,25;0;0;0;502389615,25;502389615,25;0;0;502389615,25;502389615,25;0;0;0;502389615,25;502389615,25;0;0;256238642,58;82035798,63;1,960632;6,124029
31/12/2022;C0465  ;21865473,64;21865473,64;0;0;0;21865473,64;21865473,64;0;0;21865473,64;21865473,64;0;0;0;21865473,64;21865473,64;0;0;7482508,7;2700000;2,922212;8,098324
31/12/2022;C0467  ;1238401062,42;1196855070,06;0;0;41545992,36;1196855070,06;1196855070,06;0;0;1238401062,42;1196855070,06;0;0;41545992,36;1196855070,06;1196855070,06;0;0;373053308,35;167873988,76;3,319636;7,129485
31/12/2022;C0468  ;2312073319,12;2312073319,12;0;0;0;2312073319,12;2312073319,12;0;0;2312073319,12;2312073319,12;0;0;0;2312073319,12;2312073319,12;0;0;855540797,04;213885199,26;2,70247;10,80988
31/12/2022;C0494  ;59601948,08;59601948,08;0;0;0;59601948,08;59601948,08;0;0;59601948,08;59601948,08;0;0;0;59601948,08;59601948,08;0;0;20460270,27;5115067,57;2,913058;11,652231
