TRIMESTRE;CLAVE;NOMBRE;CALLE;NUMERO;POBLACION;CODPOS;PROVINCIA;AMBITO;URL
31/12/2021;C0133;OCASO S.A. DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;HTTPS://WWW.OCASO.ES/
31/12/2016;C0139;PATRIA HISPANA, S.A. DE SEGUROS Y REASEGUROS;SERRANO;12;MADRID;28001;28;N;
31/12/2017;C0139;PATRIA HISPANA, S.A. DE SEGUROS Y REASEGUROS;SERRANO;12;MADRID;28001;28;N;
31/12/2018;C0139;PATRIA HISPANA, S.A. DE SEGUROS Y REASEGUROS;SERRANO;12;MADRID;28001;28;N;
31/12/2019;C0139;PATRIA HISPANA, S.A. DE SEGUROS Y REASEGUROS;SERRANO;12;MADRID;28001;28;N;
31/12/2020;C0139;PATRIA HISPANA, S.A. DE SEGUROS Y REASEGUROS;SERRANO ;12;MADRID;28001;28;N;WWW.PATRIAHISPANA.COM
31/12/2021;C0139;PATRIA HISPANA S.A. DE SEGUROS Y REASEGUROS;SERRANO;12;MADRID;28001;28;N;WWW.PATRIAHISPANA.COM
31/12/2016;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U;PASEO CONSTITUCION;4;ZARAGOZA;50008;50;N;
31/12/2017;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U;PASEO CONSTITUCION;4;ZARAGOZA;50008;50;N;
31/12/2018;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U;PASEO CONSTITUCION;4;ZARAGOZA;50008;50;N;
31/12/2019;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U;PASEO CONSTITUCION ;4;ZARAGOZA;50008;50;N;
31/12/2020;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U;PASEO CONSTITUCION;4;ZARAGOZA;50008;50;N;HTTPS://WWW.IBERCAJAVIDA.COM/
31/12/2021;C0140;IBERCAJA VIDA, CIA DE SEGUROS Y REASEGUROS S.A.U.;PASEO CONSTITUCION;4;ZARAGOZA;50008;50;N;HTTPS://WWW.IBERCAJAVIDA.COM/
31/12/2016;C0149;Previsora Bilbaína Seguros, S.A.;ALAMEDA MAZARREDO;73;BILBAO;48009;48;N;
31/12/2017;C0149;PREVISORA BILBAÍNA SEGUROS, S.A.;ALAMEDA MAZARREDO;73;BILBAO;48009;48;N;
31/12/2016;C0155;PREVENTIVA SEGUROS;ARMINZA;2;MADRID;28023;28;N;
31/12/2017;C0155;PREVENTIVA SEGUROS;ARMINZA;2;MADRID;28023;28;N;
31/12/2018;C0155;PREVENTIVA SEGUROS;ARMINZA;2;MADRID;28023;28;N;
31/12/2019;C0155;PREVENTIVA CIA. DE SEGUROS Y REASEGUROS S.A.;ARMINZA;2;MADRID;28023;28;N;
31/12/2020;C0155;PREVENTIVA CIA. DE SEGUROS Y REASEGUROS S.A.;ARMINZA;2;MADRID;28023;28;N;HTTPS://WWW.PREVENTIVA.COM
31/12/2021;C0155;PREVENTIVA CIA. DE SEGUROS Y REASEGUROS S.A.;ARMINZA;2;MADRID;28023;28;N;HTTPS://WWW.PREVENTIVA.COM/
31/12/2016;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS S.A.;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;
31/12/2017;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS S.A.;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;
31/12/2018;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS SA;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;
31/12/2019;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS SA;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;
31/12/2020;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS SA;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;WWW.HELVETIA.ES
31/12/2021;C0157;HELVETIA COMPAÑIA SUIZA DE SEGUROS Y REASEGUROS S.A.;PASEO DE CRISTOBAL COLON;26;SEVILLA;41001;41;N;WWW.HELVETIA.ES
31/12/2016;C0159;PREVISION POPULAR DE SEGUROS SA;PERE III;41;FIGUERES;17600;17;P;
