TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;MONEDA;delegacion;TipoDec
31/12/2016;C0517;3;337,08;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;337,08;0;0;0;0;0;0;337,08;337,08;0;E;203;16
31/12/2016;C0517;3;93165,65;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;93165,65;0;0;0;0;0;0;93165,65;93165,65;0;E;250;16
31/12/2016;C0517;3;584531,1;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;584531,1;0;0;0;0;0;0;584531,1;584531,1;0;E;620;16
31/12/2016;C0517;3;13297,52;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;13297,52;0;0;0;0;0;0;13297,52;13297,52;0;E;528;16
31/12/2016;C0517;3;2518,75;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2518,75;0;0;0;0;0;0;2518,75;2518,75;0;E;642;16
31/12/2016;C0517;3;282791,33;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;282791,33;0;0;0;0;0;0;282791,33;282791,33;0;E;826;16
31/12/2016;C0517;4;26991,62;19057,3;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;46048,92;0;0;0;0;0;0;46048,92;46048,92;0;E;20;16
31/12/2016;C0517;3;72713,45;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;72713,45;0;0;0;0;0;0;72713,45;72713,45;0;E;276;16
31/12/2017;C0517;3;45593,27;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;45593,27;0;0;0;0;0;0;45593,27;45593,27;0;E;276;16
31/12/2017;C0517;3;30127,02;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;30127,02;0;0;0;0;0;0;30127,02;30127,02;0;E;250;16
31/12/2017;C0517;1;40204680,57;7592886,58;0;;;;0;0;0;0;0;0;0;0;0;1164826,66;0;0;1164826,66;2675172,82;18034630,87;;;10150209,48;21123072,96;0;138780,35;2536392,47;30809,45;18003821,42;-16524284,71;31273282,44;21123072,96;0;E;724;16
31/12/2017;C0517;3;110,32;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;110,32;0;0;0;0;0;0;110,32;110,32;0;E;203;16
31/12/2017;C0517;3;1461,7;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1461,7;0;0;0;0;0;0;1461,7;1461,7;0;E;642;16
31/12/2017;C0517;3;375;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;375;0;0;0;0;0;0;375;375;0;E;348;16
31/12/2017;C0517;4;-4124,63;4107,9;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;-16,73;0;0;0;0;0;0;-16,73;-16,73;0;E;20;16
31/12/2017;C0517;3;60418,18;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;60418,18;0;0;0;0;0;0;60418,18;60418,18;0;E;380;16
31/12/2017;C0517;3;3420,43;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;3420,43;0;0;0;0;0;0;3420,43;3420,43;0;E;528;16
31/12/2017;C0517;3;8153,4;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;8153,4;0;0;0;0;0;0;8153,4;8153,4;0;E;616;16
31/12/2017;C0517;3;10312,11;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;10312,11;0;0;0;0;0;0;10312,11;10312,11;0;E;826;16
31/12/2017;C0517;3;39944,17;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;39944,17;0;0;0;0;0;0;39944,17;39944,17;0;E;56;16
31/12/2017;C0517;3;89,09;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;89,09;0;0;0;0;0;0;89,09;89,09;0;E;300;16
31/12/2017;C0517;3;948949,74;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;948949,74;0;0;0;0;0;0;948949,74;948949,74;0;E;620;16
31/12/2018;C0517;3;45,78;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;45,78;0;0;0;0;0;0;45,78;45,78;0;E;203;16
31/12/2018;C0517;3;23357,84;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;23357,84;0;0;0;0;0;0;23357,84;23357,84;0;E;56;16
31/12/2018;C0517;3;59106,52;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;59106,52;0;0;0;0;0;0;59106,52;59106,52;0;E;276;16
31/12/2018;C0517;1;41609810,98;12299706,62;0;;;;0;0;0;0;0;34296,07;35750,09;0;0;0;19827,46;0;89873,62;1822907,87;7540919,82;;;10764126,6;37337505,43;0;168044,07;1654863,8;28154,91;7512764,91;-5807885,57;48101632,03;37337505,43;0;E;724;16
31/12/2018;C0517;3;1623,17;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1623,17;0;0;0;0;0;0;1623,17;1623,17;0;E;642;16
31/12/2018;C0517;3;65,77;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;65,77;0;0;0;0;0;0;65,77;65,77;0;E;40;16
31/12/2018;C0517;3;423,18;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;423,18;0;0;0;0;0;0;423,18;423,18;0;E;348;16
31/12/2018;C0517;4;-1196,5;37,55;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;-1158,95;0;0;0;0;0;0;-1158,95;-1158,95;0;E;20;16
31/12/2018;C0517;3;164,55;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;164,55;0;0;0;0;0;0;164,55;164,55;0;E;752;16
31/12/2018;C0517;3;166,65;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;166,65;0;0;0;0;0;0;166,65;166,65;0;E;372;16
31/12/2018;C0517;3;64092,78;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;64092,78;0;0;0;0;0;0;64092,78;64092,78;0;E;380;16
31/12/2018;C0517;3;5266,57;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;5266,57;0;0;0;0;0;0;5266,57;5266,57;0;E;528;16
31/12/2018;C0517;3;3694,11;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;3694,11;0;0;0;0;0;0;3694,11;3694,11;0;E;616;16
31/12/2018;C0517;3;1024557,09;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1024557,09;0;0;0;0;0;0;1024557,09;1024557,09;0;E;620;16
31/12/2018;C0517;3;81629,61;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;81629,61;0;0;0;0;0;0;81629,61;81629,61;0;E;250;16
31/12/2018;C0517;3;66288;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;66288;0;0;0;0;0;0;66288;66288;0;E;826;16
31/12/2018;C0517;3;125,59;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;125,59;0;0;0;0;0;0;125,59;125,59;0;E;300;16
31/12/2019;C0517;3;198,41;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;198,41;0;0;0;0;0;0;198,41;198,41;0;E;300;16
31/12/2019;C0517;3;11277,77;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;11277,77;0;0;0;0;0;0;11277,77;11277,77;0;E;826;16
